HITId,AssignmentId,WorkerId,source,target,gizaAlignments,sureAlignments,possAlignments,sourceHighlights,targetHighlights
3GITHABACYLJ5L8A7TFFKVJIORD2NZ,3P4RDNWND56TJ0SK70DG2O55E3UJIU,A1EQ2HDHF2WWSY,an attempt last month in the Senate to keep the fund open for another year fell flat .,an attempt to keep the fund open for another year fell flat in the Senate last month .,17-17 7-2 8-3 9-4 10-5 11-6 12-7 13-8 14-9 15-10 16-11 4-12 5-13 6-14 0-0 1-1 2-15 3-16,unchanged,unchanged,unchanged,unchanged
3GKAWYFRAPT6BGI3KXCOK3FHLX2DPE,36H9ULYP62U999QU6S7VZRSDYBTFJQ,A1EQ2HDHF2WWSY,"the intelligence service , headed by Fujimori 's spy chief , Vladimiro Montesinos , was accused of torture , drug trafficking and disappearances .","the head of the intelligence service under Mr. Fujimori , Vladimiro Montesinos , was accused of tortures and disappearances .",23-19 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 0-3 1-4 2-5 21-17 22-18 4-1 6-8,0-3 1-4 2-5 6-7 6-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 21-17 22-18 23-19,4-6 5-6,7 8 9 19 20,0 1 2
3GKAWYFRAPT6BGI3KXCOK3FHLX2PDQ,3C6FJU71TQTONGIJNH3XVE84L2QUY7,A1I6P3XTSPFEK5,"In places where there are barricades , residents carrying big batons are driving away hordes of strangers .",The citizens dispersed a lot of strangers with big sticks when they built the roadblock .,17-15 15-5 16-6 10-9 9-8 5-14 7-1,5-14 7-1 9-8 10-9 12-2 13-2 14-3 14-4 15-5 16-6 17-15,{},unchanged,unchanged
3GL25Y6843UEOJQ7JHL8X6OEWA2XM3,3WLEIWSYHOHTH9JSUXP33VI9CFUH2D,A4H1NYJVE7C53,She was confused ... Her wishes were invalid . She was already dead..,She was perplexed at her own aspirations which were of no more use ... For she is dead to begin with ...,0-0 1-1 9-15 10-16 5-6 4-4 12-17 2-2,unchanged,unchanged,unchanged,unchanged
3GL25Y6843UEOJQ7JHL8X6OEWA3MXT,39RP059MEHT9X0KZ4NYRWTT9N77BMJ,A4H1NYJVE7C53,"special , sensitive light sensors pick up the telltale glow , he said .",a sensitive light detector then looks for the telltale blue glow .,13-11 2-1 3-2 7-7 8-8 9-10 4-3,unchanged,unchanged,unchanged,unchanged
3GL25Y6843UEOJQ7JHL8X6OEWA3XM4,31T4R4OBOSG9M25IEHSXOV21A4QC7W,A2NV5CA59IXOAY,We need to have a comprehensive and in depth study on this topic and make concerted efforts to resolve the issue .,We should carry out an all-round and profound discussion of this theme and work as one to settle this problem .,21-20 18-17 17-16 20-19 14-2 12-11 11-10 5-5 16-13 6-6 4-4 13-12,0-0 3-2 3-3 4-4 5-5 6-6 7-7 8-7 9-8 11-10 12-11 13-12 14-2 14-13 16-13 17-16 18-17 20-19 21-20,1-1 10-9,unchanged,unchanged
3GMLHYZ0LEXM1WLQXFYW7UCHB20UYZ,39LNWE0K4UW2XG3EJZHU9QEGVJUUI3,A4H1NYJVE7C53,My mother had left us in our childhood .,Our mother died when I was only a child .,8-9 1-1 7-8,1-1 8-9,3-2 7-3 7-8,unchanged,unchanged
3GMLHYZ0LEXM1WLQXFYW7UCHB20YU3,35DR22AR5DKFOHFQ31LUPRBV6KRX3D,A2ZRJMJTE6ID97,prosecutors said the investment was a breach of duty and resulted in the pension fund immediately losing $ 1 million .,the indictment says the investment was a breach of fiduciary duties and resulted in the state pension fund immediately losing $ 1 million .,20-23 13-16 14-17 15-18 16-19 17-20 18-21 19-22 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-10 9-11 10-12 11-13 12-14,1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-10 9-11 10-12 11-13 12-14 13-16 14-17 15-18 16-19 17-20 18-21 19-22 20-23,{},0,0 1
3GMLHYZ0LEXM1WLQXFYW7UCHB2ZYU2,35USIKEBNRG996O4KXWJYSWHEXNN6T,A1EQ2HDHF2WWSY,Outsiders widely speculate Liberal Party secretary general Noda may become finance minister after Miyazawa 's resignation .,"Outside resources said that after Miyazawa 's resignation , the Secretary-general Naida would work in his position .",16-17 12-4 13-5 14-6 15-7 5-10 6-10 4-13 0-0,3-10 4-10 5-10 6-10 7-11 12-4 13-5 14-6 15-7 16-17,0-0 0-1 1-2 1-3 2-2 2-3 8-12 8-13 8-14 8-15 8-16 9-12 9-13 9-14 9-15 9-16 10-12 10-13 10-14 10-15 10-16 11-12 11-13 11-14 11-15 11-16,unchanged,unchanged
3GONHBMNHVY3TEQMKZ9TUR4P4A1MZQ,352YTHGROVD3KNYFYB8RWAF7WT4H4N,A4H1NYJVE7C53,"On his part , Jutiriz stated that Chinese economic growth received global admiration .",Gutierrez said that China 's economic growth is universally admired .,13-10 8-5 9-6 7-3 12-9 5-1 6-2,5-1 6-2 7-3 8-5 9-6 12-9 13-10,11-8,unchanged,unchanged
3GS542CVJVNQFGN3O2Y801RA3CN594,3W2LOLRXLBF1NJ1LF871HV69GOGKR1,A1EQ2HDHF2WWSY,"'' we did not want to shut down '' , Lawrence Diamond , the CFO , said as O'Donnell lawyer Matthew Fishbein questioned him .","'' we did not want to shut down '' , Diamond testified under questioning by Matthew Fishbein , one of O'Donnell 's lawyers .",24-23 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 20-15 21-16 16-11 11-10 22-13 18-20 19-22,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-10 16-11 18-20 19-21 19-22 20-15 21-16 24-23,22-13 22-14 23-13 23-14,13 14,{}
3GV1I4SEO9PHZMOQIIB3XGW5Z1E6LH,3K9FOBBF2HJRSRRB712LNBEE4RALNV,A34QZDSTKZ3JO9,it was the first speech by a US president to a joint session of the Philippines Congress since 1960 .,President Bush on Saturday became the first American president to address a joint session of the Philippine National Congress since Dwight Eisenhower in 1960 .,19-24 10-11 11-12 12-13 13-14 14-15 15-16 2-5 3-6 8-8 9-9 16-18 17-19 18-23 7-7 4-10,2-5 3-6 4-10 7-7 8-8 9-9 10-11 11-12 12-13 13-14 14-15 15-16 16-17 16-18 17-19 18-23 19-24,{},5 6,0 1 2 3 4 20 21 22
3GV1I4SEO9PHZMOQIIB3XGW5Z1EL6W,3HFNH7HEMHEW9WQ2C2XMED4BDLLQGR,A1EQ2HDHF2WWSY,"Lee , 33 , told the newspaper that the girl had dragged the food , toys and other things into her mother 's bedroom , where he found her .","Lee , 33 , said the girl had dragged the food , toys and other things into her mother 's bedroom .",29-21 8-5 9-6 10-7 11-8 12-9 13-10 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 22-19 23-20 0-0 1-1 2-2 3-3 4-4,unchanged,unchanged,5 6 7 25 26 27 28,{}
3GVPRXWRPHUYDLUPGPJIBE49D847I3,3P1L2B7AD1P9ACRN8G2Y20EJU1KOLI,A2ZRJMJTE6ID97,They do much more training indoor at home .,Most of the time they practice indoors in China .,8-9 5-6,4-5 5-6 8-9,{},0 1 2 3 6 7,0 1 2 3 4 7 8
3GVPRXWRPHUYDLUPGPJIBE49D84I7E,3P4MQ7TPPXCDE9G2DY8IIDIFB8MBBD,A4H1NYJVE7C53,It was organized by a private company .,One personal organization had arranged it .,7-6 5-1 2-2,0-5 2-4 5-1 6-2 7-6,{},1 3 4,0 3
3H1C3QRA01JS9XNZBN126LYVMQOCES,3BWI6RSP7G9OJ0PWA8YSEJ24VFAE7W,A1EQ2HDHF2WWSY,All of you understand this or not ?,"He burns the candle of hope , and writes the message of happiness on the autumn .",,unchanged,unchanged,0 1 2 3 4 5 6,0 1 2 3 4 5 7 8 9 10 11 12 13 14 15
3H1C3QRA01JS9XNZBN126LYVMQOECU,3DOCMVPBTNEHGRUWJEI003I39MENN3,A18TO2D0ADX3QT,"'' she was crying and scared '' , said Isa Yasin , the owner of the store .","'' she was crying and she was really scared '' , said Yasin .",17-13 0-0 1-1 2-2 3-3 4-4 5-8 6-9 7-10 8-11 10-12,0-0 1-1 1-5 2-2 3-3 4-4 5-8 6-9 7-10 8-11 9-12 10-12 17-13,{},11 12 13 14 15 16,6 7
3H4IKZHALBIFU7X3TCDZCJMGZM3NNA,3ZV9H2YQQD70ZHA0TWP8N8XOXILW3J,A2ZRJMJTE6ID97,"his 1996 Chevrolet Tahoe was found abandoned June 25 in a Virginia Beach , Va. , parking lot .","his sport utility vehicle was found June 25 , abandoned without its license plates in Virginia Beach , Va.",18-19 11-15 12-16 13-17 4-4 5-5 7-6 8-7 6-9 14-18,0-0 4-4 5-5 6-9 7-6 8-7 11-15 12-16 13-17 14-18 18-19,{},9 10 15 16 17 18,1 2 3 8 10 11 12 13 14
3H5TOKO3D9JL1EH5CQCMBZUUDFJ46M,3IJXV6UZ1XJAHOBXF5MP4FRWOKCRII,A3OKWRLKLYVH4F,Mr. Rowland attended a party in South Windsor for the families of Connecticut National Guard soldiers called to active duty .,Rowland was making an appearance at a holiday party for families of Connecticut National Guard soldiers assigned to duty in Iraq and Afghanistan .,20-23 10-10 11-11 12-12 13-13 14-14 15-15 4-8 3-6 1-0 19-18 8-9 17-17,0-0 1-0 3-6 4-8 8-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-18 20-23,2-1 2-2 2-3 2-4 2-5,5 6 7 9,7 19 20 21 22
3H5TOKO3D9JL1EH5CQCMBZUUDFJ64O,3E13VNJ1NNVMOJCGHB7AYO9JKNDI1A,A2ZRJMJTE6ID97,"Without knowing it , the two men became fathers-in-law of each other 's children during their imprisonment .",It was expected that these two men became in-laws while they were in jail .,17-14 5-5 6-6 7-7 16-13 14-12,4-4 5-5 6-6 7-7 8-8 14-9 17-14,15-11 15-12 15-13 16-11 16-12 16-13,9 10 11 12 13,0 1 2 3 10
3H5TOKO3D9JL1EH5CQCMBZUUDFK64P,3G0WWMR1UVK2JO7OZ6AH4XD8EYVQNP,A2ZRJMJTE6ID97,"The latest first-hand news , plus my own comments -- Refund guaranteed if it 's fake .",I am presenting the most recent first-hand information . Authenticity is guaranteed .,16-12 3-7 0-3 1-5 2-6 11-11,0-3 1-4 1-5 2-6 3-7 4-8 11-11 16-12,{},5 6 7 8 9 10 12 13 14 15,0 1 2 9 10
3H6W48L9F4P5KMIU1SHECR42SD7WP5,3U84XHCDICDPB8Y94XEYWHJCSKLZ4X,A2ZRJMJTE6ID97,"So far , their whereabouts are unknown .",No one knows where they are now .,7-7,4-0 4-1 4-2 4-3 5-0 5-1 5-2 5-3 6-0 6-1 6-2 6-3 7-7,{},0 1 2 3,4 5 6
3H6W48L9F4P5KMIU1SHECR42SD8PWZ,3IJXV6UZ1XJAHOBXF5MP4FRWOKDRIJ,A34QZDSTKZ3JO9,I have joined the practical life unusually early and then the practical life is so busy that it 's hard to tell .,"On the one hand , I have started my practical life before the usual age , on the other hand , this much work load in the practical life .",22-29 3-26 4-27 5-28 0-5 1-6 11-9 12-10 7-7,0-5 1-6 4-9 5-10 10-26 11-27 12-28 22-29,2-7 3-8 6-13 6-14 7-13 7-14 8-16 8-17 8-18 8-19 9-16 9-17 9-18 9-19 14-21 14-22 14-23 14-24 15-21 15-22 15-23 15-24,13 16 17 18 19 20 21,0 1 2 3 4 11 12 15 20 25
3H781YYV6TI9VEPAX9WSVVYZACNTER,3RWE2M8QWHAEVV2PI8G2PRMQ1THN06,A4H1NYJVE7C53,"This kind of changing sides by him , of course , has a great social impact in Japan .",Such a turnaround of course produced a significant impact on the entire Japanese society .,18-14 8-3 9-4 15-8 12-6 13-7 14-13 17-12,8-3 9-4 12-6 13-7 15-8 17-12 18-14,14-8,unchanged,unchanged
3H781YYV6TI9VEPAX9WSVVYZACOETD,3M23Y66PO276PJG9STD5XM6N1VE6S5,A4H1NYJVE7C53,`` There is not even the slightest possibility that we will come under terrorist attack . '',"Despite that , we do n't have the slightest chance of terrorism taking place .",15-14 5-7 6-8 7-9 11-12 13-11,5-7 6-8 7-9 13-11 15-14,{},unchanged,unchanged
3HA5ODM5KASPIPYH3ZGCLUQZ8OCSV7,3R5F3LQFV2KTF18RNHT7AFPH9AMZO6,A34QZDSTKZ3JO9,"another brother , Ali Imron , was sentenced to life in prison after cooperating with investigators and showing remorse .","another brother , Ali Imron , received a life sentence after he cooperated with the authorities and expressed remorse .",19-19 0-0 1-1 2-2 3-3 4-4 5-5 13-12 14-13 18-18 17-17 7-9 9-8 12-10 16-16,0-0 1-1 2-2 3-3 4-4 5-5 6-6 6-7 6-9 7-6 7-7 7-9 8-8 9-8 12-10 13-12 14-13 15-14 15-15 16-16 17-17 18-18 19-19,{},10 11,11
3HA5ODM5KASPIPYH3ZGCLUQZ8OCVSA,3R08VXYT7CVI00BNV8SY0P942JSW77,A2ZRJMJTE6ID97,Peoples Party has refused to either accept or decline !,The People 's Party is rejecting both the rejection and the contribution .,9-12 1-3 0-1 3-5,0-1 1-3 2-4 2-5 3-4 3-5 4-4 4-5 9-12,0-0 5-6 6-11 8-8,unchanged,unchanged
3HA5ODM5KASPIPYH3ZGCLUQZ8ODSV8,3PW9OPU9PQKIDYYES8MIB822VRA21D,A34QZDSTKZ3JO9,an attempt last month in the Senate to keep the fund open for another year fell flat .,an attempt to keep the fund open for another year fell flat in the Senate last month .,17-17 7-2 8-3 9-4 10-5 11-6 12-7 13-8 14-9 15-10 16-11 4-12 5-13 6-14 0-0 1-1 2-15 3-16,unchanged,unchanged,unchanged,unchanged
3HEADTGN2PSDHAY4OAG7VKL3MMTVRM,3AMW0RGHOD2HJC69ZTVS4SNY92ENP0,A1EQ2HDHF2WWSY,I had got tired of this issue and was asking to fire a couple of rounds here and there and finish the whole issue quickly .,I had become fed up with this operation and was saying that they should launch commando action and eliminate everyone within seconds .,25-22 0-0 1-1 7-8 8-9 2-2 6-14,0-0 1-1 2-2 5-6 6-7 7-8 8-9 11-14 19-17 25-22,3-3 3-4 3-5 4-3 4-4 4-5 9-10 9-11 9-12 9-13 10-10 10-11 10-12 10-13 12-15 12-16 13-15 13-16 14-15 14-16 15-15 15-16 16-15 16-16 17-15 17-16 18-15 18-16 20-18 20-19 21-18 21-19 22-18 22-19 23-18 23-19 24-20 24-21,unchanged,unchanged
3HEADTGN2PSDHAY4OAG7VKL3MMURVJ,3GDTJDAPVUBQV2MS1BEH5R38F1K8MF,A2HNL20X0Q9BP0,"Such slanderous things , vulgar jokes and cheap discussions were there that it is impossible to reproduce them .","I am unable to repeat their filthy words , abuses , mockeries , and absurd statements .",18-16 14-2 13-1 5-11 15-3,3-8 6-12 6-13 15-3 16-4 18-16,1-6 1-7 1-9 1-11 1-14 1-15 2-6 2-7 2-9 2-11 2-14 2-15 3-10 4-6 4-7 4-9 4-11 4-14 4-15 5-6 5-7 5-9 5-11 5-14 5-15 7-6 7-7 7-9 7-11 7-14 7-15 8-6 8-7 8-9 8-11 8-14 8-15 9-5 10-5 12-0 12-1 13-0 13-1 14-2 17-5 17-6 17-7 17-9 17-11 17-14 17-15,0 11,{}
3HEADTGN2PSDHAY4OAG7VKL3MMUVRN,3BC8WZX3V3WNANEG5SGYI7SNBG2RRT,A2ZRJMJTE6ID97,"'' we 're a quiet , peaceful town of 862 people and nothing ever happens '' , said Carolyn Greene Bennett , Cedar Grove 's town recorder .","'' we 're a quiet , peaceful town of 862 people and nothing ever happens '' , Bennett said .",27-19 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 20-17 18-17 19-17 17-18,unchanged,unchanged,21 22 23 24 25 26,{}
3HEM8MA6H9C00PM8PJI8K2MG4CQQPV,3IAS3U3I0FGJQWG6U5F7HKFBH2YB20,A4H1NYJVE7C53,"Even so , we do not have the least chance for the incidence of terrorism .",`` There is not even the slightest possibility that we will come under terrorist attack . '',15-15 9-7 7-5 8-6 0-4 14-13,0-4 7-5 8-6 9-7 14-13 14-14 15-15,{},unchanged,unchanged
3HEM8MA6H9C00PM8PJI8K2MG4CRPQV,3RXCAC0YIRPQ3SQ6Q8GMSMJBJFR8GQ,A5ACBHV38DICN,"In the explosion of the 1215-kilogram moulding dynamite , it eventually turned into a pile of 0.36 billion-kilogram debris .","With the sound of the 1215 kg shaped charges detonating explosions , the building became 360 million kg of gravel .",19-20 3-3 4-4 2-10 11-14 5-5,1-1 2-10 3-3 4-4 5-5 5-6 8-11 11-14 12-14 16-15 16-16 16-17 17-15 17-16 17-17 18-19 19-20,0-0 0-2 2-0 2-2 6-7 6-8 7-7 7-8 9-12 9-13,10 13 14 15,9
3HEM8MA6H9C00PM8PJI8K2MG4CRQPW,3Z7ISHFUH0VQU9LBG04BDTZHU5YZ8J,A2ZRJMJTE6ID97,"In light of the forthcoming meeting , the policy made the arrests .",The police have responded to this meeting with detention .,12-9 8-1 7-0 5-3 11-8,5-6 7-0 8-1 11-8 12-9,{},0 1 2 3 4 6,2 3 4 5 7
3HFWPF5AK9J56GWYJPA62ZYGH4K3SM,3K4J6M3CXET4MGJLN600ODP6939AGE,A2ZRJMJTE6ID97,Many sectors in the society also extended their helping hands .,He was offered help from all walks of life .,10-9 8-3,unchanged,unchanged,unchanged,unchanged
3HFWPF5AK9J56GWYJPA62ZYGH4KS3B,3E1QT0TDFP94ZJW1GWGPDYWRYS2I8B,A2ZRJMJTE6ID97,"After the talk , Mclaren invited the delegation to dinner .","After talks , MacRalon gave a banquet in honor of Zou Jiahua and his attache .",10-15 2-1 3-2 9-6 0-0,0-0 1-1 2-1 3-2 4-3 9-6 10-15,{},unchanged,unchanged
3HJ1EVZS2OJT51WL40A1CPTKV20R3L,37WLF8U1WPQ81031NK4360FDK116KO,A4H1NYJVE7C53,Republican officials said the advertising buy was proof that Democrats are panicking that they were losing their stature on Medicare .,Republican officials said the advertisements were proof that Democrats were panicking about losing their stature on Medicare .,20-17 6-5 7-6 8-7 9-8 10-9 11-10 15-12 16-13 17-14 18-15 19-16 0-0 1-1 2-2 3-3 4-4,unchanged,unchanged,unchanged,unchanged
3HJ1EVZS2OJT51WL40A1CPTKV213RY,36DSNE9QZ5Y3FM3N5VQLML1RQCVJOR,A2ZRJMJTE6ID97,the department also sent water and soil samples to the state health laboratory .,water samples are being sent to the state health department for analysis .,13-12 8-5 9-6 10-7 11-8 1-9 4-0 7-1 3-4,1-9 3-4 4-0 7-1 8-5 9-6 10-7 11-8 13-12,12-9,unchanged,unchanged
3HJ1EVZS2OJT51WL40A1CPTKV223RZ,3DL65MZB8DFUVHKS1P63U5UIWQYCEK,A34QZDSTKZ3JO9,"his 1996 Chevrolet Tahoe was found abandoned June 25 in a Virginia Beach , Va. , parking lot .","his sport utility vehicle was found June 25 , abandoned without its license plates in Virginia Beach , Va.",18-19 11-15 12-16 13-17 4-4 5-5 7-6 8-7 6-9 14-18,0-0 1-1 1-2 1-3 2-1 2-2 2-3 3-1 3-2 3-3 4-4 5-5 6-9 7-6 8-7 9-14 11-15 12-16 13-17 14-18 18-19,{},10 15 16 17 18,10 11 12 13
3HKIF5DF6YXOVDCN5YHZ4YIZTL09GP,3JRJSWSMQHL6IHO98WV212QOQDIE3L,A4H1NYJVE7C53,The recovery in Asia is still in the preliminary stage .,Asia 's still just beginning to recover from their own crisis .,10-11 3-0 5-2 1-6,1-6 3-0 4-1 5-2 10-11,8-4 8-5 9-4 9-5,unchanged,unchanged
3HO4MYYR12OKICBKRW34O3SOCS7U6Z,3GDTJDAPVUBQV2MS1BEH5R38F1L8MG,A1EQ2HDHF2WWSY,"another brother , Ali Imron , was sentenced to life in prison after cooperating with investigators and showing remorse .","another brother , Ali Imron , received a life sentence after he cooperated with the authorities and expressed remorse .",19-19 0-0 1-1 2-2 3-3 4-4 5-5 13-12 14-13 18-18 17-17 7-9 9-8 12-10 16-16,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 12-10 13-12 14-13 15-14 15-15 16-16 17-17 18-18 19-19,8-7 8-8 8-9 9-7 9-8 9-9 10-7 10-8 10-9 11-7 11-8 11-9,unchanged,unchanged
3HRWUH63QU2B4IRXPCHDI2MU8135N2,3Y54SXRO1LLS6UJPDBGYNXGP607TUG,A2HNL20X0Q9BP0,"police searched Tanzi 's home near Parma on Wednesday , and prosecutors had sought to interrogate him that day only to find he had left Italy for an undisclosed foreign country .","magistrates searched Tanzi 's home near Parma on Wednesday and tried to question him the same day , only to find he had left Italy for an undisclosed foreign country .",31-30 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 15-12 14-11 16-13 13-10 18-16,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-9 12-10 13-10 14-11 15-12 16-13 17-14 18-15 18-16 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 31-30,{},11,17
3HRWUH63QU2B4IRXPCHDI2MU813N5K,3Q5C1WP23M1ACVH1AROG9F5EF0651K,A34QZDSTKZ3JO9,"Ryan Harvey , an outfielder from Dunedin high school in Florida , was selected with the sixth pick by the Chicago Cubs .","Ryan Harvey , a high school outfielder from Florida , was chosen sixth by the Cubs .",22-16 0-0 1-1 2-2 10-8 11-9 12-10 7-4 8-5 4-6 5-7 18-13 19-14 21-15 16-12 13-11 3-3,0-0 1-1 2-2 3-3 4-6 5-7 7-4 8-5 10-8 11-9 12-10 13-11 16-12 18-13 19-14 20-15 21-15 22-16,{},9 14 15 17,{}
3HRWUH63QU2B4IRXPCHDI2MU8145N3,32ZKVD547FN8BECPY5TC0UK3NG7B3K,A4H1NYJVE7C53,"Among all western countries , France has the largest number of `` blue-helmet '' troops in the region .",It is the western countries that sent most blue-helmeted troops to this area .,18-13 2-3 3-4 14-9 12-8 17-12,unchanged,unchanged,unchanged,unchanged
3HUR21WDDUPEI0FL2K9JR1BL5KGXYT,33SA9F9TRXU39FQXIG646Z1LO6XEWC,A4H1NYJVE7C53,Egypt Air will allow added baggage of 10 kilograms .,The `` Egypt Air '' company will accept excess weight luggage up to 10kgs .,9-14 0-2 1-3 3-7 2-6 5-10,0-2 1-3 2-6 3-7 5-10 7-12 8-12 9-14,4-8,unchanged,unchanged
3HUR21WDDUPEI0FL2K9JR1BL5KGYXU,3WEV0KO0OMS5ASVO2GLJ3SGFIHISD0,A4H1NYJVE7C53,"the National Transportation Safety Board has subpoenaed Gansas , arguing his immediate testimony remains critical to its investigation .","the National Transportation Safety Board had subpoenaed him , but he initially ignored the order .",18-15 0-0 1-1 2-2 3-3 4-4 5-5 6-6,unchanged,unchanged,7 8 9 10 11 12 13 14 15 16 17,7 8 9 10 11 12 13 14
3HUR21WDDUPEI0FL2K9JR1BL5KHXYU,3LEIZ60CDJZQ8E4LLSAPDPUSEB39Z5,A4H1NYJVE7C53,The rescue mission was completed in the early morning of 21st .,"Until this morning , emergency and evacuation working had been finished .",11-11 8-2 1-4 4-10 3-9,unchanged,unchanged,unchanged,unchanged
3HUR21WDDUPEI0FL2K9JR1BL5KHYXV,34BBWHLWHABFPKSJEZWVREZDG0GIW3,A34QZDSTKZ3JO9,"Seattle deputy police chief Clark Kimerer said the exercise here went well , with some aspects , including the communication system linking various agencies , working better than expected .","police deputy chief Clark Kimerer said the exercise went well , with some aspects , including the communication system between varying agencies , working better than expected .",29-27 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 23-21 24-22 25-23 26-24 27-25 28-26 3-2 4-3 5-4 6-5 7-6 8-7 22-20 1-1 2-0,unchanged,unchanged,0 9 21,{}
3HXCEECSQMT3NVF032X4OMRWDKEYZR,3TXD01ZLD4H8P94ZYAFQFP4XQ244UB,A34QZDSTKZ3JO9,Many sectors in the society also extended their helping hands .,Help has been offered from others as well .,10-8 8-0 5-7,3-5 4-5 5-7 6-1 6-2 6-3 8-0 9-0 10-8,{},0 1 2 7,4 6
3HXCEECSQMT3NVF032X4OMRWDKFZYT,3DBQWDE4Y6YDQ2OQFEME6MIHI26N57,A3OKWRLKLYVH4F,Why does Aramco donate 25 million dollars to build houses for victims of Hurricane Katrina ?,"In essence it prohibits arresting anyone , no matter who , in the Authority 's centers , and handing them over immediately to the police or other relevant security authorities .",,unchanged,unchanged,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
3HY86PZXPYI8MUD1VQCIPPF4ITX1ER,35H6S234SA05JHIYGX0X4BWVNBM56I,A34QZDSTKZ3JO9,"he praised the work of the Rhodes Trust , saying that it was a Rhodes scholar at Oxford who first interested him in politics .","Blair praised the work of the Rhodes Trust , saying it was an Australian Rhodes Scholar he met while at Oxford who first interested him in politics .",24-27 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 16-19 17-20 18-21 19-22 20-23 21-24 22-25 23-26 11-10 12-11 14-14 15-15 13-12,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 11-10 12-11 13-12 14-14 15-15 16-19 17-20 18-21 19-22 20-23 21-24 22-25 23-26 24-27,{},10,13 16 17 18
3HY86PZXPYI8MUD1VQCIPPF4ITXE14,33C7UALJVLYTZD038PVJLZF5HQF81X,A34QZDSTKZ3JO9,Dole 's commercial is Pfizer 's first-time effort to advertise Viagra on television .,The commercial by Dore is the first TV ads that Pfizer ever made for sales promotion of Viagra .,13-18 4-10 2-8 10-17 6-6 12-7,3-4 4-10 6-6 9-8 10-17 12-7 13-18,0-0 0-1 0-2 0-3 1-0 1-1 1-2 1-3 2-0 2-1 2-2 2-3 7-12,{},5 9 11 13 14 15 16
3HY86PZXPYI8MUD1VQCIPPF4ITY1ES,3JPSL1DZ5SZAW807AADVEXY3AFFNAJ,A2NV5CA59IXOAY,the exam contains four sections and tests a students knowledge of algebra and geometry as well as probability and statistics .,"the test , in four sections , includes algebra and geometry , along with some questions on probability and statistics .",20-20 17-17 18-18 19-19 11-8 12-9 13-10 3-4 4-5 2-7 1-1 0-0,0-0 1-1 2-7 3-4 4-5 11-8 12-9 13-10 14-12 14-13 15-12 15-13 16-12 16-13 17-17 18-18 19-19 20-20,{},6 7 8 9,14 15
3HYV4299H0WQXUXMUBLX4Z2CWZ38EI,3T111IHZ5EQH6NIUBBGCRMST5V8R9K,AROEBUDI2L9G9,"'' the committee will define the role of the interim chairman and recommend an individual to fill that role '' , said lead director H. Carl McCall in a statement .","'' the committee will define the role of the interim chairman and recommend an individual to fill that role '' , said Carl McCall , the lead director of the NYSE board .",30-32 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-26 23-27 25-22 26-23,0-0 0-19 1-1 1-8 1-29 2-2 3-3 4-4 5-0 5-5 5-29 6-6 6-18 7-7 7-28 8-5 8-8 8-29 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-6 18-18 19-0 19-19 20-20 21-21 22-26 23-27 25-22 26-23 30-32,{},unchanged,unchanged
3HYV4299H0WQXUXMUBLX4Z2CWZ48EJ,3JW0YLFXRTGXQFCO3G0AS58LVALWWT,A4H1NYJVE7C53,"At present , no one knows the where about of these two .",So far their whereabouts is still unclear .,12-7,0-0 0-1 1-0 1-1 3-6 4-6 5-6 7-3 8-3 12-7,{},2 6 9 10 11,2 4 5
